proyecto_id;organizacion_id;persona_id;financiadora;ejecutora;evaluadora;adoptante;beneficiaria;adquiriente;porcentaje_financiamiento
18890;10895;;N;Y;N;N;N;N;
18891;64;;Y;N;Y;N;N;N;1.00
18891;10895;;N;Y;N;N;N;N;
18892;64;;Y;N;Y;N;N;N;1.00
18892;72;;N;Y;N;N;N;N;
18893;5019;;N;Y;N;N;N;N;
18893;64;;Y;N;Y;N;N;N;1.00
18894;64;;Y;N;Y;N;N;N;1.00
18894;79;;N;Y;N;N;N;N;
18895;64;;Y;N;Y;N;N;N;1.00
18895;10894;;N;Y;N;N;N;N;
18896;64;;Y;N;Y;N;N;N;1.00
18896;9835;;N;Y;N;N;N;N;
18897;64;;Y;N;Y;N;N;N;1.00
18897;79;;N;Y;N;N;N;N;
18898;64;;Y;N;Y;N;N;N;1.00
18898;79;;N;Y;N;N;N;N;
18899;64;;Y;N;Y;N;N;N;1.00
18899;6531;;N;Y;N;N;N;N;
18900;64;;Y;N;Y;N;N;N;1.00
18900;9835;;N;Y;N;N;N;N;
18901;79;;N;Y;N;N;N;N;
18901;64;;Y;N;Y;N;N;N;1.00
18902;64;;Y;N;Y;N;N;N;1.00
18902;83;;N;Y;N;N;N;N;
18903;64;;Y;N;Y;N;N;N;1.00
18903;83;;N;Y;N;N;N;N;
18904;64;;Y;N;Y;N;N;N;1.00
18904;10900;;N;Y;N;N;N;N;
18905;64;;Y;N;Y;N;N;N;1.00
18905;82;;N;Y;N;N;N;N;
18906;64;;Y;N;Y;N;N;N;1.00
18906;10896;;N;Y;N;N;N;N;
18907;64;;Y;N;Y;N;N;N;1.00
18907;81;;N;Y;N;N;N;N;
18908;64;;Y;N;Y;N;N;N;1.00
18908;82;;N;Y;N;N;N;N;
18909;8243;;N;Y;N;N;N;N;
18909;64;;Y;N;Y;N;N;N;1.00
18910;64;;Y;N;Y;N;N;N;1.00
18910;10899;;N;Y;N;N;N;N;
18911;64;;Y;N;Y;N;N;N;1.00
18911;9787;;N;Y;N;N;N;N;
18912;64;;Y;N;Y;N;N;N;1.00
18912;84;;N;Y;N;N;N;N;
18913;64;;Y;N;Y;N;N;N;1.00
18913;84;;N;Y;N;N;N;N;
18914;64;;Y;N;Y;N;N;N;1.00
18914;7064;;N;Y;N;N;N;N;
18915;64;;Y;N;Y;N;N;N;1.00
18915;10899;;N;Y;N;N;N;N;
18916;64;;Y;N;Y;N;N;N;1.00
18916;9787;;N;Y;N;N;N;N;
18917;84;;N;Y;N;N;N;N;
18917;64;;Y;N;Y;N;N;N;1.00
18918;64;;Y;N;Y;N;N;N;1.00
18918;10899;;N;Y;N;N;N;N;
18919;64;;Y;N;Y;N;N;N;1.00
18919;9787;;N;Y;N;N;N;N;
18920;64;;Y;N;Y;N;N;N;1.00
18920;9787;;N;Y;N;N;N;N;
18921;64;;Y;N;Y;N;N;N;1.00
18921;84;;N;Y;N;N;N;N;
18922;64;;Y;N;Y;N;N;N;1.00
18922;84;;N;Y;N;N;N;N;
18923;64;;Y;N;Y;N;N;N;1.00
18923;10899;;N;Y;N;N;N;N;
18924;64;;Y;N;Y;N;N;N;1.00
18924;5196;;N;Y;N;N;N;N;
18925;80;;N;Y;N;N;N;N;
18925;64;;Y;N;Y;N;N;N;1.00
18926;64;;Y;N;Y;N;N;N;1.00
18926;80;;N;Y;N;N;N;N;
18927;64;;Y;N;Y;N;N;N;1.00
18927;80;;N;Y;N;N;N;N;
18928;64;;Y;N;Y;N;N;N;1.00
18928;5196;;N;Y;N;N;N;N;
18929;64;;Y;N;Y;N;N;N;1.00
18929;7088;;N;Y;N;N;N;N;
18930;64;;Y;N;Y;N;N;N;1.00
18930;9920;;N;Y;N;N;N;N;
18931;64;;Y;N;Y;N;N;N;1.00
18931;7088;;N;Y;N;N;N;N;
18932;64;;Y;N;Y;N;N;N;1.00
18932;9920;;N;Y;N;N;N;N;
18933;84;;N;Y;N;N;N;N;
18933;64;;Y;N;Y;N;N;N;1.00
18934;64;;Y;N;Y;N;N;N;1.00
18934;9920;;N;Y;N;N;N;N;
18935;64;;Y;N;Y;N;N;N;1.00
18935;7088;;N;Y;N;N;N;N;
18936;64;;Y;N;Y;N;N;N;1.00
18936;10900;;N;Y;N;N;N;N;
18937;64;;Y;N;Y;N;N;N;1.00
18937;1793;;N;Y;N;N;N;N;
18938;64;;Y;N;Y;N;N;N;1.00
18938;71;;N;Y;N;N;N;N;
18939;64;;Y;N;Y;N;N;N;1.00
18939;80;;N;Y;N;N;N;N;
18940;64;;Y;N;Y;N;N;N;1.00
18940;79;;N;Y;N;N;N;N;
18941;71;;N;Y;N;N;N;N;
18941;64;;Y;N;Y;N;N;N;1.00
18942;64;;Y;N;Y;N;N;N;1.00
18942;69;;N;Y;N;N;N;N;
18944;64;;Y;N;Y;N;N;N;1.00
18944;76;;N;Y;N;N;N;N;
18946;64;;Y;N;Y;N;N;N;1.00
18946;80;;N;Y;N;N;N;N;
18947;64;;Y;N;Y;N;N;N;1.00
18947;82;;N;Y;N;N;N;N;
18949;64;;Y;N;Y;N;N;N;1.00
18949;8972;;N;Y;N;N;N;N;
18950;64;;Y;N;Y;N;N;N;1.00
18950;73;;N;Y;N;N;N;N;
18951;64;;Y;N;Y;N;N;N;1.00
18951;88;;N;Y;N;N;N;N;
18953;78;;N;Y;N;N;N;N;
18953;64;;Y;N;Y;N;N;N;1.00
18954;64;;Y;N;Y;N;N;N;1.00
18954;70;;N;Y;N;N;N;N;
18957;64;;Y;N;Y;N;N;N;1.00
18957;84;;N;Y;N;N;N;N;
18959;64;;Y;N;Y;N;N;N;1.00
18959;73;;N;Y;N;N;N;N;
18960;64;;Y;N;Y;N;N;N;1.00
18960;5071;;N;Y;N;N;N;N;
18961;64;;Y;N;Y;N;N;N;1.00
18961;8781;;N;Y;N;N;N;N;
18962;64;;Y;N;Y;N;N;N;1.00
18962;71;;N;Y;N;N;N;N;
18963;64;;Y;N;Y;N;N;N;1.00
18963;70;;N;Y;N;N;N;N;
18964;70;;N;Y;N;N;N;N;
18964;64;;Y;N;Y;N;N;N;1.00
18965;64;;Y;N;Y;N;N;N;1.00
18965;4767;;N;Y;N;N;N;N;
18966;64;;Y;N;Y;N;N;N;1.00
18966;77;;N;Y;N;N;N;N;
18967;64;;Y;N;Y;N;N;N;1.00
18967;80;;N;Y;N;N;N;N;
