organizacion_id;tipo_institucion_id;nivel;estado_organizacion_id;institucion_nivel1_id;institucion_nivel2_id;institucion_nivel3_id;institucion_nivel4_id;institucion_nivel5_id;institucion_nivel6_id;institucion_nivel1_descripcion;institucion_nivel2_descripcion;institucion_nivel3_descripcion;institucion_nivel4_descripcion;institucion_nivel5_descripcion;institucion_nivel6_descripcion
10387;73;3;3;00022;07205;10387;;;;COMISION NACIONAL DE ENERGIA ATOMICA;INSTITUTO DE TECNOLOGIA EN DETECCION Y ASTROPARTICULAS;SUBSEDE INSTITUTO DE TECNOLOGIA EN DETECCION Y ASTROPARTICULAS-UNSAM;;;
10387;75;3;3;01715;07205;10387;;;;UNIVERSIDAD NACIONAL DE SAN MARTIN;INSTITUTO DE TECNOLOGIA EN DETECCION Y ASTROPARTICULAS;SUBSEDE INSTITUTO DE TECNOLOGIA EN DETECCION Y ASTROPARTICULAS-UNSAM;;;
10388;75;2;3;00247;10388;;;;;UNIVERSIDAD NACIONAL DE CORDOBA;CENTRO DE INVESTIGACIONES JURIDICAS Y SOCIALES;;;;
10388;73;3;3;00587;04913;10388;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - CORDOBA;CENTRO DE INVESTIGACIONES JURIDICAS Y SOCIALES;;;
10389;75;3;3;00461;00477;10389;;;;UNIVERSIDAD NACIONAL DE ROSARIO;FACULTAD DE HUMANIDADES Y ARTES;INSTITUTO DE ESTUDIOS CRITICOS EN HUMANIDADES;;;
10389;73;3;3;00587;04935;10389;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - ROSARIO;INSTITUTO DE ESTUDIOS CRITICOS EN HUMANIDADES;;;
10390;76;2;3;00671;10390;;;;;UNIVERSIDAD CATOLICA DE CORDOBA;INSTITUTO DE INVESTIGACIONES EN RECURSOS NATURALES Y SUSTENTABILIDAD JOSE SANCHEZ LABRADOR S.J.;;;;
10390;73;3;3;00587;04913;10390;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - CORDOBA;INSTITUTO DE INVESTIGACIONES EN RECURSOS NATURALES Y SUSTENTABILIDAD JOSE SANCHEZ LABRADOR S.J.;;;
10412;75;2;3;00384;10412;;;;;UNIVERSIDAD NACIONAL DEL LITORAL;INSTITUTO DE HUMANIDADES Y CIENCIAS SOCIALES DEL LITORAL;;;;
10412;73;3;3;00587;04934;10412;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - SANTA FE;INSTITUTO DE HUMANIDADES Y CIENCIAS SOCIALES DEL LITORAL;;;
10413;75;2;3;00550;10413;;;;;UNIVERSIDAD NACIONAL DE TUCUMAN;INSTITUTO DE ECOLOGIA REGIONAL;;;;
10413;73;3;3;00587;04911;10413;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET NOA SUR;INSTITUTO DE ECOLOGIA REGIONAL;;;
10414;75;4;3;00326;00331;05279;10414;;;UNIVERSIDAD NACIONAL DE LA PAMPA;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;INSTITUTO DE CIENCIAS DE LA TIERRA Y AMBIENTALES DE LA PAMPA;GRUPO VINCULADO FUNDACION CENTRO DE SALUD E INVESTIGACIONES MEDICAS;;
