producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
55234;35;;;22;25;MAS PODER LOCAL;;21;;;FUNDACIÓN ORTEGA Y GASSET;NO INDEXADO
55235;2;;;39;48;ANDAMIOS;;11;;;PNUD;NO INDEXADO
55236;1;1666-1508;;217;221;PRISMAS. REVISTA DE HISTORIA INTELECTUAL;;18;;;UNIVERSIDAD NACIONAL DE QUILMES;NO INDEXADO
55237;82;17426588;;;;JOURNAL OF PHYSICS: CONFERENCE SERIES;;;;10.1088/1742-6596/568/2/022005;IOP PUBLISHING;NO INDEXADO
55238;21;19452721;;170;179;JOURNAL OF HISPANIC MODERNISM;5;;;;JHM INTERNATIONAL EDITORIAL BOARD;NO INDEXADO
55239;1;;;2;40;LA RIVADA;;;;;SECRETARIA DE INVESTIGACION Y POSGRADO, UNIVERSIDAD NACIONAL DE MISIONES;NO INDEXADO
55240;21;15244695;;;;WATERBIRDS (DE LEON SPRINGS, FLA.);;;;;WATERBIRD SOC;Q2
55241;7;01878298;;;;EDUCACION MATEMATICA;;;;;CONSEJO MEXICANO DE INVESTIGACION EDUCATIVA;NO INDEXADO
55242;1;1853-7723;;182;194;POLHIS;;13;;;PROGRAMA INTERUNIVERSITARIO DE HISTORIA POLÍTICA;NO INDEXADO
55243;1;;;133;143;SOCIEDAD Y RELIGION;;42;;;CEIL CONICET INDIZADO EN SCIELO, DIALNET. LATINDEX;NO INDEXADO
55244;1;;;326;340;REVISTA QUESTION;1;42;;;UNIVERSIDAD NACIONAL DE LA PLATA;NO INDEXADO
55245;4;01244035;;237;264;DESAFÍOS;26;1;;;UNIVERSIDAD DEL ROSARIO;NO INDEXADO
55246;5;07185707;;17;45;REVISTA INCLUSIÓN SOCIAL Y EQUIDAD EN LA EDUCACIÓN SUPERIOR;14;;;;FUNDACIÓN EQUITAS;NO INDEXADO
55247;1;;;;;CUADERNOS DE ANTROPOLOGÍA SOCIAL;41;;;;INSTITUTO DE CIENCIAS ANTROPOLÓGICAS, FFYL, UBA;NO INDEXADO
55248;1;1668-5687;;302;310;QUESTION;1;43;;;INSTITUTO DE INVESTIGACIONES EN COMUNICACIÓN (IICOM) DE LA FACULTAD DE PERIODISMO Y COMUNICACIÓN SOCIAL DE LA UNIVERSIDAD NACIONAL DE LA PLATA ;NO INDEXADO
55249;1;1852-7698;;57;59;RUMBOS TECNOLÓGICOS;6;;;;FACULTAD REGIONAL AVELLANEDA;NO INDEXADO
55250;1;05183669;;;;ARCHIVOS DE CIENCIAS DELA EDUCACIÓN;;;;;FACULTAD DE HUMANIDADES Y CS. DE LA EDUCACIÓN - UNLP;NO INDEXADO
55251;35;19862601;;;;GLOBAL DIALLOGUE;;;;;ASOCIACIÓN INTERNACIONAL DE SOCIOLOGÍA;NO INDEXADO
55252;1;18539556;;16;20;ENREDADOS;;;;;ENREDADOS ;NO INDEXADO
55253;21;0890037X;;;;WEED TECHNOLOGY;28;;;10.1614/WT-D-13-00178.1;WEED SCI SOC AMER;Q1
55254;3;1519843X;;241;270;DEBATES DO NER;1;25;;;UFRGS;NO INDEXADO
55255;1;;;92;131;SOCIEDAD Y RELIGION;XXIV;42;;;CENTRO DE ESTUDIOS E INVESTIGACIONES LABORALES;NO INDEXADO
55256;5;07192975;;45;59;ESTUDIOS DE SEGURIDAD Y DEFENSA;;4;;;ACADEMIA NACIONAL DE ESTUDIOS POLÍTICOS Y ESTRATÉGICOS;NO INDEXADO
